ts,timestamp,latitudeLog,longitudeLog,temp_data,hPa_data,hum_data,lux_data,ox_data,red_data,nh3_data,pm1_data,pm25_data,pm10_data
1637317104,19/11/2021 10:18,52.0788,5.124793333,18.53013228,1029.739195,65.13623333,981.3735,3.344894027,514.3703704,118.5042493,5,9,10
1637317107,19/11/2021 10:18,52.0788,5.124798333,18.5554209,1029.732054,65.05348464,1002.10235,3.402121504,514.3703704,118.5042493,4,8,11
1637317110,19/11/2021 10:18,52.0788,5.124798333,18.56472551,1029.732271,65.27757382,1027.1097,3.402121504,514.3703704,118.0112994,5,9,10
1637317112,19/11/2021 10:18,52.07879667,5.124805,18.60125997,1029.738264,65.04994296,1057.74185,3.402121504,514.3703704,118.5042493,5,8,10
1637317115,19/11/2021 10:18,52.07879667,5.124805,18.61770032,1029.730103,64.87787104,1093.20585,3.402121504,514.3703704,119,5,9,10
1637317117,19/11/2021 10:18,52.07879833,5.124803333,18.64201834,1029.731911,64.71735859,1126.71505,3.459459459,514.3703704,119,4,8,9
1637317120,19/11/2021 10:18,52.07879833,5.124803333,18.67250151,1029.744575,64.81943079,1162.3635,3.459459459,514.3703704,118.5042493,4,8,10
1637317123,19/11/2021 10:18,52.07879667,5.124808333,18.71280358,1029.739018,64.99370657,1196.8501,3.459459459,514.3703704,118.0112994,5,7,7
1637317125,19/11/2021 10:18,52.07879667,5.124808333,18.73135591,1029.739236,64.85562966,1236.5926,3.459459459,514.3703704,118.0112994,5,6,7
1637317128,19/11/2021 10:18,52.07879667,5.124808333,18.76960294,1029.74262,64.66704386,1276.3351,3.459459459,514.3703704,118.5042493,5,7,7
1637317130,19/11/2021 10:18,52.07879667,5.124808333,18.78199015,1029.745684,64.64581063,1316.26205,3.516908213,514.3703704,118.0112994,5,7,7
1637317133,19/11/2021 10:18,52.07879667,5.124806667,18.80493818,1029.733455,64.39583555,1366.88525,3.516908213,514.3703704,119,4,6,7
1637317136,19/11/2021 10:18,52.07879667,5.124806667,18.82480364,1029.737213,64.25173159,1405.65035,3.516908213,514.3703704,119.4985755,5,8,9
1637317138,19/11/2021 10:18,52.078795,5.124806667,18.84746611,1029.741802,64.15842925,1452.788,3.516908213,514.3703704,120,5,9,9
